left,links
top,oben
"Show/hide CSS selectors","CSS-Selektoren ein- / ausblenden"
"Swissup Themes Editor","Swissup Themes Editor"
"Argento Essence","Argento Essenz"
Buttons,Tasten
"Primary Buttons",Primärschaltflächen
Background,Hintergrund
"Font Color",Schriftfarbe
"Hover State Background","Schwebezustand Hintergrund"
"Hover State Font Color","Hover State Schriftfarbe"
"Other Buttons","Andere Tasten"
"Hover Background","Hover Hintergrund"
"Hover Font Color",Hover-Schriftfarbe
Fonts,Schriftarten
"Font Family",Schriftfamilie
Color,Farbe
"Product name link in listing","Produktname Link in der Liste"
"Hover Color",Schwebefarbe
"Top toolbar container","Oberer Symbolleistencontainer"
Repeat,Wiederholen
"Text Color",Textfarbe
"Links Color","Links Farbe"
"Bottom toolbar container","Unterer Symbolleistencontainer"
"Additional css","Zusätzliche CSS"
"Css styles",CSS-Stile
"Cart counter background color",Warenkorbzählerhintergrundfarbe
Navigation,Navigation
"Menu item dividers",Menüpunktteiler
"Left divider","Linker Teiler"
"Right divider","Rechter Teiler"
"Top level links",Top-Level-Links
"Font Size",Schriftgröße
"Text transform",Texttransformation
"Hover state font color",Hover-Status-Schriftfarbe
"Active state font color","Aktive Schriftfarbe"
"Top level arrows","Pfeile der obersten Ebene"
"Links from the rest of the levels","Links von den restlichen Levels"
"Background color",Hintergrundfarbe
"Hover state background color","Schwebezustand Hintergrundfarbe"
"Active state background color","Hintergrundfarbe des aktiven Zustands"
"Rest of the levels arrows","Restliche Levelpfeile"
"Body background",Körperhintergrund
"Page wrapper",Seitenumbruch
Max-width,"Maximale Breite"
"Content wrapper",Inhaltsverpackung
"Product and Homepage Tabs","Produkt- und Homepage-Registerkarten"
Padding,Polsterung
Font-family,Schriftfamilie
"Font size",Schriftgröße
"Font weight",Schriftgewicht
transform,verwandeln
"Background Color",Hintergrundfarbe
"Font color",Schriftfarbe
"Border color",Randfarbe
"Hover state",Schwebezustand
"Active state","Aktiver Zustand"
"Argento Luxury","Argento Luxus"
"Border Color",Randfarbe
"Hover State Border Color","Hover State Border Color"
"Titles Color","Titel Farbe"
"Border bottom","Rand unten"
Shadow,Schatten
"Enable Fullscreen Slider","Aktivieren Sie den Vollbild-Schieberegler"
"Homepage logo",Homepage-Logo
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Umgekehrte Primärschaltflächen (In den Warenkorb, Kasse)"
"Argento Flat","Argento Wohnung"
"Argento Mall","Argento Mall"
"Header background color","Header Hintergrundfarbe"
"Product Tabs",Produktregisterkarten
"Argento Stripes",Argento-Streifen
"""Add to Wish List"" and ""Add to Compate"" buttons","Schaltflächen ""Zur Wunschliste hinzufügen"" und ""Zum Kompatieren hinzufügen"""
"Hover State Background Color","Schwebezustand Hintergrundfarbe"
