left,左
top,上
"Show/hide CSS selectors",CSSセレクターの表示/非表示
"Swissup Themes Editor",Swissupテーマエディター
"Argento Essence",アルジェントエッセンス
Buttons,ボタン
"Primary Buttons",主ボタン
Background,バックグラウンド
"Font Color",フォントカラー
"Hover State Background",ホバー状態の背景
"Hover State Font Color",ホバー状態のフォントの色
"Other Buttons",その他のボタン
"Hover Background",ホバー背景
"Hover Font Color",ホバーフォントの色
Fonts,書体
"Font Family",フォントファミリー
Color,色
"Product name link in listing",リスト内の製品名リンク
"Hover Color",ホバーカラー
"Top toolbar container",トップツールバーコンテナ
Repeat,繰り返す
"Text Color",テキストの色
"Links Color",リンクの色
"Bottom toolbar container",下部ツールバーコンテナー
"Additional css",追加のCSS
"Css styles",CSSスタイル
"Cart counter background color",カートカウンターの背景色
Navigation,ナビゲーション
"Menu item dividers",メニューアイテムの仕切り
"Left divider",左仕切り
"Right divider",右仕切り
"Top level links",トップレベルのリンク
"Font Size",フォントサイズ
"Text transform",テキスト変換
"Hover state font color",ホバー状態のフォントの色
"Active state font color",アクティブな状態のフォントの色
"Top level arrows",トップレベルの矢印
"Links from the rest of the levels",残りのレベルからのリンク
"Background color",背景色
"Hover state background color",ホバー状態の背景色
"Active state background color",アクティブな状態の背景色
"Rest of the levels arrows",残りのレベルの矢印
"Body background",体の背景
"Page wrapper",ページラッパー
Max-width,最大幅
"Content wrapper",コンテンツラッパー
"Product and Homepage Tabs",製品とホームページのタブ
Padding,パディング
Font-family,フォントファミリー
"Font size",フォントサイズ
"Font weight",フォントの太さ
transform,変身
"Background Color",背景色
"Font color",フォント色
"Border color",ボーダの色
"Hover state",ホバー状態
"Active state",アクティブ状態
"Argento Luxury",アルジェントラグジュアリー
"Border Color",ボーダの色
"Hover State Border Color",ホバー状態のボーダー色
"Titles Color",タイトルの色
"Border bottom",ボーダーボトム
Shadow,影
"Enable Fullscreen Slider",全画面スライダーを有効にする
"Homepage logo",ホームページのロゴ
"Argento Pure2",アルジェントピュア2
"Inverted Primary Buttons (Add to Cart, Checkout)",反転した主ボタン（カートに追加、チェックアウト）
"Argento Flat",アルジェントフラット
"Argento Mall",アルジェントモール
"Header background color",ヘッダーの背景色
"Product Tabs",製品タブ
"Argento Stripes",アルジェントストライプ
"""Add to Wish List"" and ""Add to Compate"" buttons",「ウィッシュリストに追加」および「比較に追加」ボタン
"Hover State Background Color",ホバー状態の背景色
"Final price in listing and on product page",リストおよび製品ページの最終価格
"Links separator color",リンクセパレータの色
"Enable sticky menu",付箋メニューを有効にする
"Header background",ヘッダーの背景
"Header top panel",ヘッダー上部パネル
"Text color",テキストの色
"Border bottom width",ボーダーの下の幅
"Border bottom style",ボーダーボトムスタイル
"Border bottom color",ボーダーボトムカラー
"Arrow color",矢印の色
"Top level ""Departments"" link",トップレベルの「部門」リンク
"Background image",背景画像
"Background repeat",バックグラウンドリピート
"Background position",背景の位置
"Hover state arrow color",ホバー状態の矢印の色
"Active state arrow color",アクティブな状態の矢印の色
